2024.04.02;21:14:58;3
2024.04.02;22:00:02;3
2024.04.03;15:59:43;0
2024.04.03;16:00:50;0
2024.04.03;16:00:50;0
2024.04.03;16:01:26;0
2024.04.03;16:03:49;5
2024.04.03;16:06:46;-1
2024.04.03;16:14:07;1
2024.05.09;13:16:42;0
2024.05.09;13:18:06;3
2024.05.09;14:37:39;3
2024.05.09;15:25:19;3
2024.05.09;15:41:14;3
2024.05.11;11:54:20;0
2024.05.11;11:54:25;0
2024.05.11;12:19:19;4
2024.05.11;12:29:19;34
2024.05.11;12:30:55;50
2024.05.11;12:32:37;31
2024.05.11;14:25:12;31
2024.05.11;14:25:21;31
2024.05.11;14:25:53;44
2024.05.11;14:46:36;51
2024.05.11;14:51:53;63
2024.05.11;14:56:09;54
2024.05.11;14:56:44;46
2024.05.11;15:00:26;34
2024.05.11;15:00:39;25
2024.05.11;15:07:31;23
2024.05.11;15:10:05;21
2024.05.11;15:10:08;19
2024.05.11;15:10:10;18
2024.05.11;15:36:24;16
2024.05.11;15:43:53;10
2024.05.11;15:50:38;10
2024.05.11;15:53:51;10
2024.05.11;15:53:53;10
2024.05.11;15:53:54;10
2024.05.11;15:53:57;10
2024.05.11;15:54:48;10
2024.05.11;15:57:07;10
2024.05.11;15:58:49;17
2024.05.11;16:01:11;23
2024.05.11;16:01:14;24
2024.05.11;16:01:16;25
2024.05.11;16:01:28;27
2024.05.11;16:07:09;30
2024.05.11;16:11:30;42
2024.05.11;18:19:49;20
2024.05.11;18:22:01;25
2024.05.11;18:22:59;2
2024.05.11;18:24:06;6
2024.05.11;18:24:28;-5
2024.05.11;18:37:25;6
2024.05.11;18:37:46;-1
2024.05.11;18:56:12;-1
2024.05.11;19:13:12;-1
